Year,Temperature (Â°C),Tree Cover (%),Rainfall (mm)
2000,32.93966766775207,2.485258246259891,16405.76136638348
2001,32.75900156270865,1.9119334899418365,18603.125572479632
2002,33.64855107186661,2.2136390084353943,9344.690225851846
2003,32.46033836681588,1.919272056012863,18590.801075423595
2004,33.38417062851133,2.226891445186668,18309.54461085343
2005,32.5303944913609,2.9785492487731413,18146.878416368425
2006,33.06561027885369,2.881220282776461,19545.830781983143
2007,32.97757595192643,2.347653868539821,17474.164451150307
2008,32.60685119606948,2.9458223472438667,19193.174309792903
2009,33.69979376342814,2.548756422147318,14502.96701345014
2010,33.37010054861807,2.2691590632387637,24151.440679976287
2011,32.5646141190468,2.0445119728283707,23686.755282641476
2012,32.499131685027926,3.2290477158367707,22583.59507120496
2013,32.22513469762813,4.183519243700113,26413.94770106704
2014,32.73365431557263,3.501127420320342,18257.89865531608
2015,32.65185512892,3.081871355709291,17043.169644590245
2016,31.31267185977141,2.453410341231274,26246.032919889658
2017,31.38548187213432,3.0827183234704756,18671.97833627612
2018,31.61259292230675,2.6488709331743254,22312.589709952437
2019,30.255615353042717,3.463761243162422,27296.561669182647
2020,31.378143550054162,4.515496794280369,22109.556115808253
