Month,Temperature (Â°C),Year
1,20.229667421542583,2000
2,21.856154546584733,2000
3,25.66429479221036,2000
4,27.633959422320856,2000
5,28.09276381638475,2000
6,28.673991582008938,2000
7,29.444772887581415,2000
8,28.756256471333284,2000
9,27.976779045840146,2000
10,28.319410178436456,2000
11,24.99644224016453,2000
12,22.641992827668822,2000
1,20.8380841428936,2001
2,23.949510473174954,2001
3,27.71110271136438,2001
4,28.732223479952662,2001
5,28.462204756162794,2001
6,28.966332739251733,2001
7,29.666792661447897,2001
8,30.217798091132558,2001
9,29.167602122544753,2001
10,27.715684221376634,2001
11,25.25613360853728,2001
12,22.3888984615815,2001
1,21.396365058486143,2002
2,25.111796064389537,2002
3,27.33492718410344,2002
4,26.331553121807744,2002
5,27.553538985299348,2002
6,28.091572297380417,2002
7,28.071671842919386,2002
8,29.015393129056516,2002
9,29.246902239865914,2002
10,28.211517040540677,2002
11,25.38326108440774,2002
12,22.251723752886715,2002
1,19.046623933008544,2003
2,23.18080165235128,2003
3,25.11781352246972,2003
4,27.625659373480804,2003
5,28.47036960671971,2003
6,28.211538185360492,2003
7,29.521460363798635,2003
8,29.944527244859074,2003
9,29.246972436117495,2003
10,27.4065367899492,2003
11,25.15758505377147,2003
12,21.80655196762278,2003
1,19.952991697233223,2004
2,24.01338824672586,2004
3,28.325324225170146,2004
4,25.346145169553093,2004
5,28.97918137530558,2004
6,28.591431508147686,2004
7,27.779034230254812,2004
8,30.10920141830534,2004
9,28.287596858563138,2004
10,26.958273928589232,2004
11,25.552694388760656,2004
12,22.515087968924252,2004
1,20.506000566696784,2005
2,24.49218133519902,2005
3,26.276699779640104,2005
4,27.85281321363915,2005
5,27.23163183889339,2005
6,29.967585109359337,2005
7,29.099991911560558,2005
8,29.343155255955708,2005
9,30.2387511736573,2005
10,27.34665943128987,2005
11,25.567660429131042,2005
12,23.614126982394147,2005
1,21.150386920071757,2006
2,25.971139070055475,2006
3,29.263433111642172,2006
4,28.196277544937956,2006
5,29.134209974310004,2006
6,28.34504053206552,2006
7,30.266176812743026,2006
8,30.95439800987218,2006
9,29.32770532032999,2006
10,29.16101406536916,2006
11,25.357562815016216,2006
12,23.163746785381857,2006
1,21.137211544211038,2007
2,22.509288407390887,2007
3,27.360872481184174,2007
4,27.59351684935906,2007
5,30.130716708832267,2007
6,29.035207654273535,2007
7,28.99510291675365,2007
8,30.268863068686485,2007
9,29.280166430455957,2007
10,28.587229573088358,2007
11,26.347407160757275,2007
12,22.801926185487414,2007
1,20.939892748039913,2008
2,22.272601542950362,2008
3,26.493152521104474,2008
4,29.173171211952294,2008
5,29.793121660878995,2008
6,28.980835056239364,2008
7,29.49714835068806,2008
8,29.118944106377757,2008
9,29.87181189731573,2008
10,28.54192427218317,2008
11,26.03786768070504,2008
12,23.064052452441125,2008
1,22.199144740609466,2009
2,26.032067653686852,2009
3,28.508351489529307,2009
4,29.20784840074626,2009
5,29.66347346272804,2009
6,29.98981774360941,2009
7,30.66290069835094,2009
8,29.68228611638505,2009
9,30.68569866107424,2009
10,29.436182059754504,2009
11,26.174970972499693,2009
12,22.503857530422575,2009
1,21.72702414825575,2010
2,25.052018948520864,2010
3,28.817126653787582,2010
4,28.006893219817027,2010
5,28.84153322084905,2010
6,28.658426029833382,2010
7,29.883948436298624,2010
8,30.414389122331237,2010
9,29.14131174072489,2010
10,28.652610454553635,2010
11,26.350044144129686,2010
12,22.190775039655357,2010
1,19.525741290579,2011
2,24.498201965643336,2011
3,27.567909405342572,2011
4,29.05086164943332,2011
5,29.152632565981666,2011
6,29.49288473695299,2011
7,29.57926565405006,2011
8,29.512267135474527,2011
9,30.097406963132475,2011
10,29.765999590487755,2011
11,25.36287336002087,2011
12,22.169022637124087,2011
1,20.076789851759486,2012
2,24.682607470637162,2012
3,28.269303487236535,2012
4,27.569092131865652,2012
5,30.11085014199327,2012
6,28.67816236347962,2012
7,29.716925225920736,2012
8,30.294905086229104,2012
9,29.240075850331223,2012
10,28.51647965162952,2012
11,25.34591631231167,2012
12,20.862738683475545,2012
1,20.772951320015817,2013
2,25.828717702217986,2013
3,29.288852347484664,2013
4,28.95248883211835,2013
5,27.887474991910654,2013
6,31.076949811210955,2013
7,30.208922966813017,2013
8,29.870370619474393,2013
9,30.170094019135977,2013
10,27.953753720137392,2013
11,26.087117422302256,2013
12,22.05999282237054,2013
1,21.235644936112934,2014
2,22.484604504613724,2014
3,28.036565261093532,2014
4,31.587157821623926,2014
5,29.926756520478023,2014
6,29.696399045665167,2014
7,30.628983471003966,2014
8,29.540642428007338,2014
9,29.324555945739174,2014
10,29.440088756188004,2014
11,26.880675559509967,2014
12,23.12814224262897,2014
1,22.002998420487344,2015
2,24.365548283406724,2015
3,28.74614753702639,2015
4,27.34365490831667,2015
5,28.84469655356961,2015
6,29.094579195861233,2015
7,30.183783881277336,2015
8,29.385506283971328,2015
9,29.956892863997513,2015
10,29.49511416957988,2015
11,26.514620793979297,2015
12,21.43420685261867,2015
1,19.906119121751377,2016
2,23.99977016646659,2016
3,27.290536887323476,2016
4,27.83674300741119,2016
5,27.156653224228283,2016
6,28.824927032474143,2016
7,27.836496379752525,2016
8,30.07932755092989,2016
9,28.76293429692821,2016
10,28.354418732255073,2016
11,25.596221451109525,2016
12,23.660619534657815,2016
1,21.990419182114497,2017
2,24.17486763906937,2017
3,23.785726853981735,2017
4,26.181568125386878,2017
5,28.26576167306917,2017
6,28.302410229099447,2017
7,27.959083283629912,2017
8,28.572457329064417,2017
9,28.483903992255293,2017
10,27.43483795523091,2017
11,25.552036122603944,2017
12,22.786183687766666,2017
1,19.793661108047274,2018
2,23.11862728593077,2018
3,26.388767242848168,2018
4,26.637739136739906,2018
5,26.803362841912474,2018
6,28.728676285648856,2018
7,28.75251039642944,2018
8,29.32449001278244,2018
9,29.02292699618724,2018
10,26.639206374435897,2018
11,24.378758861982966,2018
12,21.399310751930592,2018
1,21.702932104816707,2019
2,22.483871278905042,2019
3,25.671429290474435,2019
4,26.50116499661982,2019
5,27.35811228227529,2019
6,28.74421291371269,2019
7,28.2534289437693,2019
8,30.433128811282682,2019
9,28.60931156420023,2019
10,26.9673407056288,2019
11,25.8094769601541,2019
12,21.116768006794683,2019
1,19.57019536488005,2020
2,22.41001766715359,2020
3,26.20463305909149,2020
4,27.520098638817803,2020
5,26.95797621157366,2020
6,28.13101386602873,2020
7,27.640389528589232,2020
8,30.509492304455865,2020
9,29.353369695655662,2020
10,29.58435513883377,2020
11,26.669286600844867,2020
12,22.268429941116935,2020
1,21.550280246072035,2021
2,25.18699190290794,2021
3,28.837625512165687,2021
4,30.224947364780583,2021
5,29.198812799350506,2021
6,29.523405727254527,2021
7,29.82368968828343,2021
8,29.556159472623623,2021
9,30.63501098556479,2021
10,29.738847480870188,2021
11,26.048760413417014,2021
12,23.16092504885415,2021
1,21.188444608473628,2022
2,21.728146229312994,2022
3,29.29878418214136,2022
4,28.098538790646277,2022
5,28.36124711467782,2022
6,28.02542286046794,2022
7,30.820859205982664,2022
8,31.003249754241306,2022
9,29.902107845747505,2022
10,28.551805103766952,2022
11,27.11485009369474,2022
12,23.441946177609168,2022
1,22.211809299790726,2023
2,24.755818683191396,2023
3,26.925430879228,2023
4,29.956988679874637,2023
5,29.984596947698495,2023
6,29.688965360768087,2023
7,30.457823109262183,2023
8,29.73861254920921,2023
9,31.194634057121938,2023
10,28.575727233944516,2023
11,26.997617209900206,2023
12,23.556646506433786,2023
